County,Month,Year,Application Status,Number of Applications
San Bernardino,6,2013,Total applications/restorations on hand,6806
San Bernardino,6,2014,Applications denied,2363
San Bernardino,6,2014,Applications/requests for restoration received,4639
San Bernardino,6,2014,Applications/restorations approved,1992
San Bernardino,6,2014,Total applications/restorations on hand,6544
San Bernardino,6,2015,Applications denied,2540
San Bernardino,6,2015,Applications/requests for restoration received,4838
San Bernardino,6,2015,Applications/restorations approved,1920
San Bernardino,6,2015,Total applications/restorations on hand,6538
San Bernardino,7,2010,Applications denied,2758
San Bernardino,7,2010,Applications/requests for restoration received,5988
San Bernardino,7,2010,Applications/restorations approved,2059
San Bernardino,7,2010,Total applications/restorations on hand,8897
San Bernardino,7,2011,Applications denied,2587
San Bernardino,7,2011,Applications/requests for restoration received,5226
San Bernardino,7,2011,Applications/restorations approved,2045
San Bernardino,7,2011,Total applications/restorations on hand,7342
San Bernardino,7,2012,Applications denied,3275
San Bernardino,7,2012,Applications/requests for restoration received,5961
San Bernardino,7,2012,Applications/restorations approved,2018
San Bernardino,7,2012,Total applications/restorations on hand,8411
San Bernardino,7,2013,Applications denied,3138
San Bernardino,7,2013,Applications/requests for restoration received,5921
San Bernardino,7,2013,Applications/restorations approved,1897
San Bernardino,7,2013,Total applications/restorations on hand,7946
San Bernardino,7,2014,Applications denied,2633
San Bernardino,7,2014,Applications/requests for restoration received,5350
San Bernardino,7,2014,Applications/restorations approved,2161
San Bernardino,7,2014,Total applications/restorations on hand,7181
San Bernardino,7,2015,Applications denied,2515
San Bernardino,7,2015,Applications/requests for restoration received,5041
San Bernardino,7,2015,Applications/restorations approved,2000
San Bernardino,7,2015,Total applications/restorations on hand,6810
San Bernardino,8,2010,Applications denied,3281
San Bernardino,8,2010,Applications/requests for restoration received,5293
San Bernardino,8,2010,Applications/restorations approved,2492
San Bernardino,8,2010,Total applications/restorations on hand,9097
San Bernardino,8,2011,Applications denied,3349
San Bernardino,8,2011,Applications/requests for restoration received,6324
San Bernardino,8,2011,Applications/restorations approved,2262
San Bernardino,8,2011,Total applications/restorations on hand,8637
San Bernardino,8,2012,Applications denied,3382
San Bernardino,8,2012,Applications/requests for restoration received,6242
San Bernardino,8,2012,Applications/restorations approved,2303
San Bernardino,8,2012,Total applications/restorations on hand,8899
San Bernardino,8,2013,Applications denied,3141
San Bernardino,8,2013,Applications/requests for restoration received,5825
San Bernardino,8,2013,Applications/restorations approved,2241
San Bernardino,8,2013,Total applications/restorations on hand,8273
San Bernardino,8,2014,Applications denied,2643
San Bernardino,8,2014,Applications/requests for restoration received,5006
San Bernardino,8,2014,Applications/restorations approved,2121
San Bernardino,8,2014,Total applications/restorations on hand,6999
San Bernardino,8,2015,Applications denied,2524
San Bernardino,8,2015,Applications/requests for restoration received,4837
San Bernardino,8,2015,Applications/restorations approved,1973
San Bernardino,8,2015,Total applications/restorations on hand,6806
San Bernardino,9,2010,Applications denied,2645
San Bernardino,9,2010,Applications/requests for restoration received,5230
San Bernardino,9,2010,Applications/restorations approved,2128
San Bernardino,9,2010,Total applications/restorations on hand,8190
San Bernardino,9,2011,Applications denied,2983
San Bernardino,9,2011,Applications/requests for restoration received,5380
San Bernardino,9,2011,Applications/restorations approved,2350
San Bernardino,9,2011,Total applications/restorations on hand,7893
San Bernardino,9,2012,Applications denied,2985
San Bernardino,9,2012,Applications/requests for restoration received,5233
San Bernardino,9,2012,Applications/restorations approved,1775
San Bernardino,9,2012,Total applications/restorations on hand,7884
San Bernardino,9,2013,Applications denied,2884
San Bernardino,9,2013,Applications/requests for restoration received,5295
San Bernardino,9,2013,Applications/restorations approved,1768
San Bernardino,9,2013,Total applications/restorations on hand,7726
San Bernardino,9,2014,Applications denied,2499
San Bernardino,9,2014,Applications/requests for restoration received,4751
San Bernardino,9,2014,Applications/restorations approved,1996
San Bernardino,9,2014,Total applications/restorations on hand,6621
San Bernardino,9,2015,Applications denied,2449
San Bernardino,9,2015,Applications/requests for restoration received,4616
San Bernardino,9,2015,Applications/restorations approved,1973
San Bernardino,9,2015,Total applications/restorations on hand,6587
San Diego,1,2010,Applications denied,1452
San Diego,1,2010,Applications/requests for restoration received,3357
San Diego,1,2010,Applications/restorations approved,1278
San Diego,1,2010,Total applications/restorations on hand,8631
San Diego,1,2011,Applications denied,1568
San Diego,1,2011,Applications/requests for restoration received,3601
San Diego,1,2011,Applications/restorations approved,1185
San Diego,1,2011,Total applications/restorations on hand,8433
San Diego,1,2012,Applications/requests for restoration received,3535
San Diego,1,2012,Applications/restorations approved,1291
San Diego,1,2012,Total applications/restorations on hand,9726
San Diego,1,2013,Applications denied,1768
San Diego,1,2013,Applications/requests for restoration received,3872
San Diego,1,2013,Applications/restorations approved,1085
San Diego,1,2013,Total applications/restorations on hand,10609
San Diego,1,2014,Applications denied,1584
San Diego,1,2014,Applications/requests for restoration received,3759
San Diego,1,2014,Applications/restorations approved,1117
San Diego,1,2014,Total applications/restorations on hand,7214
San Diego,1,2015,Applications denied,1148
San Diego,1,2015,Applications/requests for restoration received,2945
San Diego,1,2015,Applications/restorations approved,869
San Diego,1,2015,Total applications/restorations on hand,6905
San Diego,10,2010,Applications denied,1987
San Diego,10,2010,Applications/requests for restoration received,3702
San Diego,10,2010,Applications/restorations approved,1573
San Diego,10,2010,Total applications/restorations on hand,9363
San Diego,10,2011,Applications denied,1671
San Diego,10,2011,Applications/requests for restoration received,3571
San Diego,10,2011,Applications/restorations approved,1266
San Diego,10,2011,Total applications/restorations on hand,9649
San Diego,10,2012,Applications denied,1883
San Diego,10,2012,Applications/requests for restoration received,4314
San Diego,10,2012,Applications/restorations approved,1417
San Diego,10,2012,Total applications/restorations on hand,11529
San Diego,10,2013,Applications denied,1762
San Diego,10,2013,Applications/requests for restoration received,3852
San Diego,10,2013,Applications/restorations approved,1310
San Diego,10,2013,Total applications/restorations on hand,7821
San Diego,10,2014,Applications denied,1471
San Diego,10,2014,Applications/requests for restoration received,3329
San Diego,10,2014,Applications/restorations approved,1239
San Diego,10,2014,Total applications/restorations on hand,7425
San Diego,11,2010,Applications denied,1651
San Diego,11,2010,Applications/requests for restoration received,3448
San Diego,11,2010,Applications/restorations approved,1093
San Diego,11,2010,Total applications/restorations on hand,8454
San Diego,11,2011,Applications denied,1429
San Diego,11,2011,Applications/requests for restoration received,3315
San Diego,11,2011,Applications/restorations approved,1206
San Diego,11,2011,Total applications/restorations on hand,9444
San Diego,11,2012,Applications denied,1673
San Diego,11,2012,Applications/requests for restoration received,3607
San Diego,11,2012,Applications/restorations approved,1159
San Diego,11,2012,Total applications/restorations on hand,11086
San Diego,11,2013,Applications denied,1379
San Diego,11,2013,Applications/requests for restoration received,2945
San Diego,11,2013,Applications/restorations approved,1004
San Diego,11,2013,Total applications/restorations on hand,6730
San Diego,11,2014,Applications denied,1052
San Diego,11,2014,Applications/requests for restoration received,2476
San Diego,11,2014,Applications/restorations approved,959
San Diego,11,2014,Total applications/restorations on hand,6793
San Diego,12,2010,Applications denied,1551
San Diego,12,2010,Applications/requests for restoration received,3231
San Diego,12,2010,Applications/restorations approved,1282
San Diego,12,2010,Total applications/restorations on hand,8334
San Diego,12,2011,Applications denied,1460
San Diego,12,2011,Applications/requests for restoration received,3279
San Diego,12,2011,Applications/restorations approved,1189
San Diego,12,2011,Total applications/restorations on hand,9501
San Diego,12,2012,Applications denied,1526
San Diego,12,2012,Applications/requests for restoration received,3084
San Diego,12,2012,Applications/restorations approved,1047
San Diego,12,2012,Total applications/restorations on hand,10587
San Diego,12,2013,Applications denied,1482
San Diego,12,2013,Applications/requests for restoration received,3383
